trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,2249.0444444444443,0.0,0.0,0.0,0.0,0.0,0.0,correct200_always_false
10,2269.694444444445,182.06666666666666,10330.8,10330.8,182.06666666666666,10330.8,10330.8,correct200_always_false
20,2316.516666666667,207.73333333333332,11707.933333333332,11707.933333333332,389.79999999999995,22038.73333333333,22038.73333333333,correct200_always_false
30,2394.5888888888885,161.63333333333333,11071.766666666666,11071.766666666666,551.4333333333333,33110.5,33110.5,correct200_always_false
40,2390.4500000000003,151.26666666666668,11319.1,11319.1,702.6999999999999,44429.6,44429.6,correct200_always_false
50,2396.177777777778,116.56666666666666,9879.0,10479.9,819.2666666666667,54308.6,54909.5,correct200_always_false
60,2491.0444444444443,91.93333333333334,8274.1,10163.866666666667,911.2,62582.7,65073.36666666667,correct200_always_false
70,2542.6000000000004,59.1,6388.766666666666,10524.866666666667,970.3000000000001,68971.46666666666,75598.23333333334,correct200_always_false
80,2561.7166666666667,27.533333333333335,3126.4,9883.966666666667,997.8333333333334,72097.86666666665,85482.20000000001,correct200_always_false
90,2661.6500000000005,2.1666666666666665,284.2,8792.3,1000.0,72382.06666666665,94274.50000000001,correct200_always_false
100,2676.2500000000005,0.0,0.0,9809.8,1000.0,72382.06666666665,104084.30000000002,correct200_always_false
110,2696.466666666667,0.0,0.0,9480.366666666667,1000.0,72382.06666666665,113564.66666666669,correct200_always_false
120,2733.8888888888882,0.0,0.0,9453.833333333334,1000.0,72382.06666666665,123018.50000000001,correct200_always_false
130,2824.777777777778,0.0,0.0,9424.566666666668,1000.0,72382.06666666665,132443.06666666668,correct200_always_false
140,2864.85,0.0,0.0,9173.366666666667,1000.0,72382.06666666665,141616.43333333335,correct200_always_false
150,2918.316666666667,0.0,0.0,9734.6,1000.0,72382.06666666665,151351.03333333335,correct200_always_false
160,2865.8499999999995,0.0,0.0,9344.433333333332,1000.0,72382.06666666665,160695.46666666667,correct200_always_false
170,3037.766666666667,0.0,0.0,9697.233333333334,1000.0,72382.06666666665,170392.7,correct200_always_false
180,3055.0666666666666,0.0,0.0,10111.4,1000.0,72382.06666666665,180504.1,correct200_always_false
190,3069.2277777777776,0.0,0.0,9859.266666666666,1000.0,72382.06666666665,190363.36666666667,correct200_always_false
200,3055.6388888888887,0.0,0.0,10907.5,1000.0,72382.06666666665,201270.86666666667,correct200_always_false
210,3213.766666666666,0.0,0.0,10045.733333333334,1000.0,72382.06666666665,211316.6,correct200_always_false
220,3197.833333333334,0.0,0.0,10143.6,1000.0,72382.06666666665,221460.2,correct200_always_false
230,3190.5111111111114,0.0,0.0,9798.933333333332,1000.0,72382.06666666665,231259.13333333333,correct200_always_false
240,3280.016666666667,0.0,0.0,9901.033333333333,1000.0,72382.06666666665,241160.16666666666,correct200_always_false
250,3259.755555555555,0.0,0.0,10216.066666666668,1000.0,72382.06666666665,251376.23333333334,correct200_always_false
260,3342.4166666666656,0.0,0.0,10441.8,1000.0,72382.06666666665,261818.03333333333,correct200_always_false
270,3360.2333333333327,0.0,0.0,10039.1,1000.0,72382.06666666665,271857.1333333333,correct200_always_false
280,3376.5444444444447,0.0,0.0,10189.533333333333,1000.0,72382.06666666665,282046.6666666666,correct200_always_false
290,3412.072222222222,0.0,0.0,10141.366666666667,1000.0,72382.06666666665,292188.03333333327,correct200_always_false
300,3410.438888888888,0.0,0.0,10358.366666666667,1000.0,72382.06666666665,302546.3999999999,correct200_always_false
310,3492.3333333333326,0.0,0.0,10408.233333333334,1000.0,72382.06666666665,312954.63333333324,correct200_always_false
320,3414.016666666666,0.0,0.0,10589.3,1000.0,72382.06666666665,323543.93333333323,correct200_always_false
330,3404.911111111112,0.0,0.0,10159.1,1000.0,72382.06666666665,333703.0333333332,correct200_always_false
340,3455.083333333333,0.0,0.0,10206.666666666666,1000.0,72382.06666666665,343909.6999999999,correct200_always_false
350,3461.2000000000003,0.0,0.0,10249.8,1000.0,72382.06666666665,354159.4999999999,correct200_always_false
360,3509.694444444445,0.0,0.0,10868.6,1000.0,72382.06666666665,365028.09999999986,correct200_always_false
370,3503.616666666667,0.0,0.0,10672.466666666667,1000.0,72382.06666666665,375700.56666666653,correct200_always_false
380,3470.688888888889,0.0,0.0,9871.933333333332,1000.0,72382.06666666665,385572.4999999999,correct200_always_false
