trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,1633.7444444444445,0.0,0.0,0.0,0.0,0.0,0.0,advise100_always_false
10,1859.6055555555554,1000.0,3638.9,9105.666666666666,1000.0,3638.9,9105.666666666666,advise100_always_false
20,1834.5611111111111,0.0,0.0,7563.033333333334,1000.0,3638.9,16668.7,advise100_always_false
30,1881.9944444444448,0.0,0.0,7865.333333333333,1000.0,3638.9,24534.033333333333,advise100_always_false
40,1876.5500000000002,0.0,0.0,7757.433333333333,1000.0,3638.9,32291.466666666667,advise100_always_false
50,1907.1444444444446,0.0,0.0,8038.4,1000.0,3638.9,40329.86666666667,advise100_always_false
60,1894.1499999999999,0.0,0.0,7913.1,1000.0,3638.9,48242.96666666667,advise100_always_false
70,1898.1222222222227,0.0,0.0,8038.8,1000.0,3638.9,56281.76666666667,advise100_always_false
80,1887.6,0.0,0.0,7690.5,1000.0,3638.9,63972.26666666667,advise100_always_false
90,1902.638888888888,0.0,0.0,7984.466666666666,1000.0,3638.9,71956.73333333334,advise100_always_false
100,1890.622222222222,0.0,0.0,7732.9,1000.0,3638.9,79689.63333333333,advise100_always_false
110,1906.9,0.0,0.0,8018.866666666667,1000.0,3638.9,87708.5,advise100_always_false
120,1869.472222222222,0.0,0.0,7737.233333333334,1000.0,3638.9,95445.73333333334,advise100_always_false
130,1898.0666666666664,0.0,0.0,8143.833333333333,1000.0,3638.9,103589.56666666667,advise100_always_false
140,1904.122222222222,0.0,0.0,7349.366666666667,1000.0,3638.9,110938.93333333333,advise100_always_false
150,1913.6722222222222,0.0,0.0,7931.233333333334,1000.0,3638.9,118870.16666666667,advise100_always_false
160,1946.8944444444448,0.0,0.0,7402.9,1000.0,3638.9,126273.06666666667,advise100_always_false
170,1895.3277777777778,0.0,0.0,7910.5,1000.0,3638.9,134183.56666666665,advise100_always_false
180,1893.1555555555556,0.0,0.0,7776.233333333334,1000.0,3638.9,141959.8,advise100_always_false
190,1866.0833333333333,0.0,0.0,8281.533333333333,1000.0,3638.9,150241.3333333333,advise100_always_false
200,1903.3944444444448,0.0,0.0,7461.033333333334,1000.0,3638.9,157702.36666666664,advise100_always_false
210,1956.6055555555554,0.0,0.0,7780.766666666666,1000.0,3638.9,165483.1333333333,advise100_always_false
220,1932.3777777777782,0.0,0.0,7700.133333333333,1000.0,3638.9,173183.26666666663,advise100_always_false
230,1954.5500000000002,0.0,0.0,7708.9,1000.0,3638.9,180892.16666666663,advise100_always_false
240,1945.9777777777774,0.0,0.0,7686.766666666666,1000.0,3638.9,188578.9333333333,advise100_always_false
250,1987.0444444444443,0.0,0.0,7641.5,1000.0,3638.9,196220.4333333333,advise100_always_false
260,1955.3999999999999,0.0,0.0,6985.3,1000.0,3638.9,203205.73333333328,advise100_always_false
270,2014.3611111111109,0.0,0.0,7110.833333333333,1000.0,3638.9,210316.56666666662,advise100_always_false
280,1978.0166666666667,0.0,0.0,7330.233333333334,1000.0,3638.9,217646.79999999996,advise100_always_false
290,1936.6888888888889,0.0,0.0,7541.033333333334,1000.0,3638.9,225187.83333333328,advise100_always_false
300,1960.6333333333337,0.0,0.0,7660.666666666667,1000.0,3638.9,232848.49999999994,advise100_always_false
310,1965.9166666666667,0.0,0.0,7312.066666666667,1000.0,3638.9,240160.56666666662,advise100_always_false
320,1941.3222222222219,0.0,0.0,7409.933333333333,1000.0,3638.9,247570.49999999994,advise100_always_false
330,1980.738888888889,0.0,0.0,7942.466666666666,1000.0,3638.9,255512.96666666662,advise100_always_false
