trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,2202.422222,0,0,0,0,0,0,advise100_always_false
10,2233.216667,1000,3570.933333,10205.36667,1000,3570.933333,10205.36667,advise100_always_false
20,2319.2,0,0,8931.366667,1000,3570.933333,19136.73333,advise100_always_false
30,2336.866667,0,0,9141.9,1000,3570.933333,28278.63333,advise100_always_false
40,2388.127778,0,0,8338.566667,1000,3570.933333,36617.2,advise100_always_false
50,2472.888889,0,0,9002.4,1000,3570.933333,45619.6,advise100_always_false
60,2473.561111,0,0,8958.766667,1000,3570.933333,54578.36667,advise100_always_false
70,2508.972222,0,0,9714.566667,1000,3570.933333,64292.93333,advise100_always_false
80,2495.383333,0,0,8929.066667,1000,3570.933333,73222,advise100_always_false
90,2551.572222,0,0,8926.233333,1000,3570.933333,82148.23333,advise100_always_false
100,2608.688889,0,0,8424.3,1000,3570.933333,90572.53333,advise100_always_false
110,2538.233333,0,0,9353.9,1000,3570.933333,99926.43333,advise100_always_false
120,2550.394444,0,0,8929.966667,1000,3570.933333,108856.4,advise100_always_false
130,2535.838889,0,0,9061.133333,1000,3570.933333,117917.5333,advise100_always_false
140,2545.4,0,0,9149.166667,1000,3570.933333,127066.7,advise100_always_false
150,2585.033333,0,0,8680.1,1000,3570.933333,135746.8,advise100_always_false
160,2556.233333,0,0,8142.466667,1000,3570.933333,143889.2667,advise100_always_false
170,2552.655556,0,0,9645.666667,1000,3570.933333,153534.9333,advise100_always_false
180,2445.466667,0,0,9009,1000,3570.933333,162543.9333,advise100_always_false
190,2571.944444,0,0,8655.333333,1000,3570.933333,171199.2667,advise100_always_false
200,2640.311111,0,0,9243.733333,1000,3570.933333,180443,advise100_always_false
210,2605.533333,0,0,8878.1,1000,3570.933333,189321.1,advise100_always_false
220,2666.422222,0,0,8847.266667,1000,3570.933333,198168.3667,advise100_always_false
230,2668.088889,0,0,9469.466667,1000,3570.933333,207637.8333,advise100_always_false
240,2804.588889,0,0,8657.9,1000,3570.933333,216295.7333,advise100_always_false
250,2708.183333,0,0,9466.833333,1000,3570.933333,225762.5667,advise100_always_false
260,2761.15,0,0,9186.266667,1000,3570.933333,234948.8333,advise100_always_false
270,2844.983333,0,0,8581.733333,1000,3570.933333,243530.5667,advise100_always_false
280,2788.105556,0,0,9124.766667,1000,3570.933333,252655.3333,advise100_always_false
290,2849.75,0,0,9101.533333,1000,3570.933333,261756.8667,advise100_always_false
300,2863.833333,0,0,9073.633333,1000,3570.933333,270830.5,advise100_always_false
310,2937.316667,0,0,9335.8,1000,3570.933333,280166.3,advise100_always_false
320,3037.544444,0,0,9725.2,1000,3570.933333,289891.5,advise100_always_false
330,3060.705556,0,0,9664.5,1000,3570.933333,299556,advise100_always_false
340,3142.411111,0,0,9947.366667,1000,3570.933333,309503.3667,advise100_always_false
350,3121.277778,0,0,10327.56667,1000,3570.933333,319830.9333,advise100_always_false
360,3123.455556,0,0,10206.13333,1000,3570.933333,330037.0667,advise100_always_false
370,3136.555556,0,0,9868.833333,1000,3570.933333,339905.9,advise100_always_false
380,3190.538889,0,0,9064.233333,1000,3570.933333,348970.1333,advise100_always_false
390,3148.411111,0,0,9841.933333,1000,3570.933333,358812.0667,advise100_always_false
400,3200.088889,0,0,9280.6,1000,3570.933333,368092.6667,advise100_always_false
410,3264.466667,0,0,10440.1,1000,3570.933333,378532.7667,advise100_always_false
420,3273.05,0,0,10067.76667,1000,3570.933333,388600.5333,advise100_always_false
430,3278.761111,0,0,9806.166667,1000,3570.933333,398406.7,advise100_always_false
440,3344.833333,0,0,10124,1000,3570.933333,408530.7,advise100_always_false
450,3454.305556,0,0,9962.166667,1000,3570.933333,418492.8667,advise100_always_false
460,3386.127778,0,0,9684.2,1000,3570.933333,428177.0667,advise100_always_false
470,3406.188889,0,0,10626.86667,1000,3570.933333,438803.9333,advise100_always_false
480,3405.383333,0,0,10461.3,1000,3570.933333,449265.2333,advise100_always_false
490,3438.966667,0,0,10647,1000,3570.933333,459912.2333,advise100_always_false
500,3440.111111,0,0,10579.56667,1000,3570.933333,470491.8,advise100_always_false
510,3526.938889,0,0,10286.06667,1000,3570.933333,480777.8667,advise100_always_false
520,3452.588889,0,0,10609.43333,1000,3570.933333,491387.3,advise100_always_false
