trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,2187.4555555555557,0.0,0.0,0.0,0.0,0.0,0.0,baseline_importance50_true
10,2227.9444444444443,1000.0,1000.0,8941.133333333333,1000.0,1000.0,8941.133333333333,baseline_importance50_true
20,2260.2944444444443,0.0,0.0,8642.233333333334,1000.0,1000.0,17583.36666666667,baseline_importance50_true
30,2323.122222222222,0.0,0.0,9310.533333333333,1000.0,1000.0,26893.9,baseline_importance50_true
40,2381.9388888888884,0.0,0.0,8586.466666666667,1000.0,1000.0,35480.36666666667,baseline_importance50_true
50,2358.6611111111115,0.0,0.0,9089.933333333332,1000.0,1000.0,44570.3,baseline_importance50_true
60,2376.9444444444443,0.0,0.0,8898.4,1000.0,1000.0,53468.700000000004,baseline_importance50_true
70,2435.5444444444443,0.0,0.0,9545.633333333333,1000.0,1000.0,63014.333333333336,baseline_importance50_true
80,2471.3222222222225,0.0,0.0,9540.166666666666,1000.0,1000.0,72554.5,baseline_importance50_true
90,2431.2055555555557,0.0,0.0,9029.533333333333,1000.0,1000.0,81584.03333333333,baseline_importance50_true
100,2534.783333333333,0.0,0.0,9762.533333333333,1000.0,1000.0,91346.56666666665,baseline_importance50_true
110,2527.361111111111,0.0,0.0,9322.033333333333,1000.0,1000.0,100668.59999999998,baseline_importance50_true
120,2546.1722222222224,0.0,0.0,9389.933333333332,1000.0,1000.0,110058.53333333331,baseline_importance50_true
130,2567.2055555555553,0.0,0.0,8819.233333333334,1000.0,1000.0,118877.76666666665,baseline_importance50_true
140,2526.1388888888887,0.0,0.0,8837.1,1000.0,1000.0,127714.86666666665,baseline_importance50_true
150,2529.983333333334,0.0,0.0,8657.9,1000.0,1000.0,136372.76666666666,baseline_importance50_true
160,2528.027777777777,0.0,0.0,9164.4,1000.0,1000.0,145537.16666666666,baseline_importance50_true
170,2464.6222222222223,0.0,0.0,8536.9,1000.0,1000.0,154074.06666666665,baseline_importance50_true
180,2454.8500000000004,0.0,0.0,9319.133333333333,1000.0,1000.0,163393.19999999998,baseline_importance50_true
190,2563.633333333333,0.0,0.0,8902.433333333332,1000.0,1000.0,172295.6333333333,baseline_importance50_true
200,2601.444444444444,0.0,0.0,8821.066666666668,1000.0,1000.0,181116.69999999998,baseline_importance50_true
210,2535.9388888888884,0.0,0.0,8850.1,1000.0,1000.0,189966.8,baseline_importance50_true
220,2648.6333333333337,0.0,0.0,8068.633333333333,1000.0,1000.0,198035.43333333332,baseline_importance50_true
230,2587.2055555555553,0.0,0.0,8222.433333333332,1000.0,1000.0,206257.86666666664,baseline_importance50_true
240,2600.6999999999994,0.0,0.0,9037.066666666668,1000.0,1000.0,215294.93333333332,baseline_importance50_true
250,2618.6833333333334,0.0,0.0,8763.966666666667,1000.0,1000.0,224058.9,baseline_importance50_true
260,2649.6944444444443,0.0,0.0,9087.333333333334,1000.0,1000.0,233146.23333333334,baseline_importance50_true
270,2681.05,0.0,0.0,9161.2,1000.0,1000.0,242307.43333333335,baseline_importance50_true
280,2687.9333333333334,0.0,0.0,8930.666666666666,1000.0,1000.0,251238.1,baseline_importance50_true
290,2743.5944444444444,0.0,0.0,8764.3,1000.0,1000.0,260002.4,baseline_importance50_true
300,2792.7888888888892,0.0,0.0,8900.9,1000.0,1000.0,268903.3,baseline_importance50_true
310,2767.427777777778,0.0,0.0,8930.8,1000.0,1000.0,277834.1,baseline_importance50_true
320,2835.805555555555,0.0,0.0,9786.066666666668,1000.0,1000.0,287620.1666666666,baseline_importance50_true
330,2875.905555555555,0.0,0.0,9647.766666666666,1000.0,1000.0,297267.9333333333,baseline_importance50_true
340,3027.516666666667,0.0,0.0,9105.9,1000.0,1000.0,306373.8333333333,baseline_importance50_true
350,3065.05,0.0,0.0,8975.166666666666,1000.0,1000.0,315349.0,baseline_importance50_true
360,3028.4888888888886,0.0,0.0,9202.533333333333,1000.0,1000.0,324551.5333333333,baseline_importance50_true
370,3176.294444444445,0.0,0.0,9317.833333333334,1000.0,1000.0,333869.36666666664,baseline_importance50_true
380,3081.6777777777775,0.0,0.0,10302.666666666666,1000.0,1000.0,344172.0333333333,baseline_importance50_true
390,3190.3722222222223,0.0,0.0,9788.1,1000.0,1000.0,353960.1333333333,baseline_importance50_true
400,3244.083333333333,0.0,0.0,9860.433333333332,1000.0,1000.0,363820.56666666665,baseline_importance50_true
