Sum of reward,Column Labels,,,,,,
Row Labels,advise200_unfamiliarNN5_true,advise200_unfamiliarNN7_true,baseline_never,correct200_always,correct200_avgCertainty_true,correct200_unfamiliarNN5_true,Grand Total
0,1626.855556,1639.311111,1640.361111,1628.216667,1652.194444,1608.716667,9795.655556
10,1653.411111,1738.244444,1647.733333,1970.411111,1752.133333,1622.955556,10384.88889
20,1795.477778,1832.05,1616.838889,2121.666667,1847.566667,1677.95,10891.55
30,1877.638889,1903.944444,1592.127778,2163.038889,1956.505556,1681.427778,11174.68333
40,1961.6,1977.911111,1600.733333,2180.044444,2046.116667,1702.561111,11468.96667
50,2016.927778,2007.166667,1581.827778,2185.355556,2167.1,1672.594444,11630.97222
60,2090.444444,2086.205556,1606.622222,2346.611111,2163.405556,1704.161111,11997.45
70,2071.538889,2090.583333,1600.377778,2383.827778,2247.927778,1710.044444,12104.3
80,2114.672222,2063.4,1586.577778,2506.122222,2291.016667,1738.027778,12299.81667
90,2153.3,2105.088889,1621.916667,2480.972222,2373.294444,1719.211111,12453.78333
100,2135.488889,2092.633333,1569.8,2446.511111,2340.327778,1734.494444,12319.25556
110,2176.427778,2139.155556,1600.877778,2526.011111,2352.772222,1738.077778,12533.32222
120,2106.472222,2119.588889,1590.75,2545.677778,2348.288889,1705.961111,12416.73889
130,2140.916667,2107.444444,1552.894444,2605.966667,2383.111111,1756.488889,12546.82222
140,2173.938889,2113.094444,1572.833333,2513.883333,2410.183333,1733.077778,12517.01111
150,2203.705556,2189.761111,1513.666667,2575.861111,2411.788889,1754.866667,12649.65
160,2145.7,2188.955556,1531.133333,2672.238889,2455.866667,1822.266667,12816.16111
170,2213.027778,2189.4,1543.016667,2729.172222,2546.711111,1860.372222,13081.7
180,2213.233333,2171.416667,1485.144444,2697.911111,2587.677778,1816.166667,12971.55
190,2213.833333,2211.077778,1514.811111,2811.922222,2630.305556,1828.333333,13210.28333
200,2233.333333,2277.261111,1502.444444,2829.533333,2686.033333,1829.238889,13357.84444
210,2293.727778,2188.95,1492.755556,2823.455556,2674.155556,1844.961111,13318.00556
220,2201.072222,2286.488889,1512.677778,2865.277778,2736.283333,1828.25,13430.05
230,2246.577778,2255.7,1529.666667,3018.961111,2801.616667,1861.594444,13714.11667
240,2271.15,2190.688889,1481.538889,2931.305556,2817.966667,1892.044444,13584.69444
250,2256.894444,2281.366667,1465.261111,2889.655556,2936.544444,1838.433333,13668.15556
260,2325.816667,2315.327778,1427.027778,3025.772222,2893.872222,1885.233333,13873.05
