trainingEpisodes,reward,teaching,episodeLength,teachingStrategy
0,2633.872222222222,0.0,0.0,0.0,advise200_always_false
10,2535.2055555555557,796.4,11239.5,11652.066666666668,advise200_always_false
20,2540.9611111111108,201.66666666666666,2820.7,10379.366666666667,advise200_always_false
30,2583.7,1.9333333333333333,11.3,8305.3,advise200_always_false
40,2561.472222222223,0.0,0.0,9022.766666666666,advise200_always_false
50,2586.188888888889,0.0,0.0,8763.2,advise200_always_false
60,2673.5499999999997,0.0,0.0,9280.333333333334,advise200_always_false
70,2595.772222222222,0.0,0.0,9159.7,advise200_always_false
80,2614.1111111111113,0.0,0.0,9589.733333333334,advise200_always_false
90,2722.883333333333,0.0,0.0,9376.2,advise200_always_false
100,2751.122222222222,0.0,0.0,10182.933333333332,advise200_always_false
110,2777.511111111111,0.0,0.0,9360.433333333332,advise200_always_false
120,2876.9999999999995,0.0,0.0,10145.733333333334,advise200_always_false
130,3008.9277777777775,0.0,0.0,9851.4,advise200_always_false
140,2973.638888888889,0.0,0.0,10366.566666666668,advise200_always_false
150,3022.2666666666673,0.0,0.0,9790.266666666666,advise200_always_false
160,3095.911111111111,0.0,0.0,9891.433333333332,advise200_always_false
170,3204.150000000001,0.0,0.0,9207.9,advise200_always_false
180,3219.1222222222223,0.0,0.0,9767.866666666667,advise200_always_false
190,3251.966666666667,0.0,0.0,9806.566666666668,advise200_always_false
200,3188.8222222222216,0.0,0.0,10609.666666666666,advise200_always_false
210,3265.322222222222,0.0,0.0,10137.8,advise200_always_false
220,3272.0833333333335,0.0,0.0,10087.433333333332,advise200_always_false
230,3329.622222222221,0.0,0.0,9872.066666666668,advise200_always_false
240,3302.711111111112,0.0,0.0,10094.6,advise200_always_false
250,3379.877777777778,0.0,0.0,10152.333333333334,advise200_always_false
260,3384.6444444444437,0.0,0.0,10580.1,advise200_always_false
270,3394.655555555555,0.0,0.0,10391.033333333333,advise200_always_false
280,3353.8944444444437,0.0,0.0,10456.2,advise200_always_false
290,3436.4111111111115,0.0,0.0,10544.266666666666,advise200_always_false
300,3426.488888888889,0.0,0.0,10687.433333333332,advise200_always_false
310,3482.733333333332,0.0,0.0,10409.333333333334,advise200_always_false
320,3443.5777777777776,0.0,0.0,10499.9,advise200_always_false
330,3470.144444444444,0.0,0.0,10183.6,advise200_always_false
340,3593.388888888889,0.0,0.0,10787.0,advise200_always_false
350,3531.233333333333,0.0,0.0,10336.5,advise200_always_false
360,3404.0277777777783,0.0,0.0,10535.766666666666,advise200_always_false
370,3616.1055555555563,0.0,0.0,10104.766666666666,advise200_always_false
380,3546.2222222222217,0.0,0.0,10471.866666666667,advise200_always_false
390,3561.8722222222223,0.0,0.0,10676.8,advise200_always_false
400,3597.0777777777785,0.0,0.0,10195.433333333332,advise200_always_false
410,3688.594444444445,0.0,0.0,10588.7,advise200_always_false
420,3617.133333333333,0.0,0.0,10096.1,advise200_always_false
430,3534.061111111111,0.0,0.0,10737.233333333334,advise200_always_false
440,3602.183333333334,0.0,0.0,10673.066666666668,advise200_always_false
450,3629.8999999999996,0.0,0.0,10594.166666666666,advise200_always_false
460,3663.755555555556,0.0,0.0,10340.766666666666,advise200_always_false
470,3662.238888888889,0.0,0.0,10899.766666666666,advise200_always_false
480,3744.8555555555563,0.0,0.0,9696.1,advise200_always_false
490,3610.9666666666662,0.0,0.0,10173.933333333332,advise200_always_false
500,3743.2055555555553,0.0,0.0,10613.6,advise200_always_false
510,3600.361111111111,0.0,0.0,10231.033333333333,advise200_always_false
520,3691.016666666666,0.0,0.0,10118.366666666667,advise200_always_false
530,3738.877777777778,0.0,0.0,10652.166666666666,advise200_always_false
540,3747.4222222222224,0.0,0.0,10848.4,advise200_always_false
550,3697.527777777777,0.0,0.0,10665.966666666667,advise200_always_false
560,3673.9444444444443,0.0,0.0,10341.266666666666,advise200_always_false
570,3729.5222222222233,0.0,0.0,10360.6,advise200_always_false
580,3780.6277777777786,0.0,0.0,10439.866666666667,advise200_always_false
590,3807.766666666667,0.0,0.0,10650.233333333334,advise200_always_false
600,3788.822222222222,0.0,0.0,10501.0,advise200_always_false
610,3746.872222222221,0.0,0.0,10641.033333333333,advise200_always_false
620,3751.333333333334,0.0,0.0,10533.566666666668,advise200_always_false
630,3743.633333333333,0.0,0.0,10355.533333333333,advise200_always_false
640,3744.9888888888886,0.0,0.0,10824.866666666667,advise200_always_false
650,3808.833333333333,0.0,0.0,10524.366666666667,advise200_always_false
660,3734.3055555555557,0.0,0.0,10181.6,advise200_always_false
670,3740.383333333333,0.0,0.0,9811.533333333333,advise200_always_false
680,3817.7388888888886,0.0,0.0,10393.7,advise200_always_false
690,3739.0500000000006,0.0,0.0,9889.966666666667,advise200_always_false
700,3689.5277777777783,0.0,0.0,10445.9,advise200_always_false
710,3795.744444444444,0.0,0.0,10023.933333333332,advise200_always_false
720,3698.505555555555,0.0,0.0,10428.166666666666,advise200_always_false
730,3745.394444444445,0.0,0.0,10273.966666666667,advise200_always_false
740,3742.127777777778,0.0,0.0,10350.866666666667,advise200_always_false
750,3772.6944444444453,0.0,0.0,10264.9,advise200_always_false
760,3771.016666666667,0.0,0.0,9819.566666666668,advise200_always_false
770,3740.394444444444,0.0,0.0,10142.033333333333,advise200_always_false
780,3789.35,0.0,0.0,10543.133333333333,advise200_always_false
790,3787.8833333333328,0.0,0.0,10549.4,advise200_always_false
800,3750.766666666666,0.0,0.0,10499.766666666666,advise200_always_false
810,3770.6055555555563,0.0,0.0,10880.1,advise200_always_false
820,3770.027777777778,0.0,0.0,10799.7,advise200_always_false
830,3821.5666666666666,0.0,0.0,10373.266666666666,advise200_always_false
840,3794.4555555555553,0.0,0.0,10009.233333333334,advise200_always_false
850,3802.683333333334,0.0,0.0,10230.2,advise200_always_false
860,3731.583333333334,0.0,0.0,10262.966666666667,advise200_always_false
870,3766.5499999999997,0.0,0.0,10711.666666666666,advise200_always_false
880,3749.0111111111114,0.0,0.0,10604.7,advise200_always_false
890,3781.2388888888886,0.0,0.0,9712.6,advise200_always_false
900,3767.9888888888886,0.0,0.0,10371.5,advise200_always_false
910,3757.827777777778,0.0,0.0,10127.333333333334,advise200_always_false
920,3771.144444444444,0.0,0.0,10237.3,advise200_always_false
930,3783.588888888889,0.0,0.0,10235.9,advise200_always_false
940,3801.05,0.0,0.0,10198.8,advise200_always_false
950,3776.688888888889,0.0,0.0,10647.8,advise200_always_false
