trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,2232.6277777777777,0.0,0.0,0.0,0.0,0.0,0.0,baseline_always_false
10,2262.011111111111,15828.6,15828.6,15828.6,15828.6,15828.6,15828.6,baseline_always_false
20,2346.0277777777783,15460.533333333333,15460.533333333333,15460.533333333333,31289.13333333333,31289.13333333333,31289.13333333333,baseline_always_false
30,2501.9444444444443,15287.033333333333,15287.033333333333,15287.033333333333,46576.166666666664,46576.166666666664,46576.166666666664,baseline_always_false
40,2653.5833333333335,15834.933333333332,15834.933333333332,15834.933333333332,62411.1,62411.1,62411.1,baseline_always_false
50,2845.1611111111106,9865.866666666667,9865.866666666667,13543.8,72276.96666666666,72276.96666666666,75954.9,baseline_always_false
60,2959.350000000001,105.03333333333333,105.03333333333333,9091.166666666666,72382.0,72382.0,85046.06666666667,baseline_always_false
70,3082.7999999999997,0.0,0.0,8837.1,72382.0,72382.0,93883.16666666667,baseline_always_false
80,3140.9444444444443,0.0,0.0,9960.166666666666,72382.0,72382.0,103843.33333333334,baseline_always_false
90,3213.3888888888887,0.0,0.0,9322.2,72382.0,72382.0,113165.53333333334,baseline_always_false
100,3287.1944444444443,0.0,0.0,10206.6,72382.0,72382.0,123372.13333333335,baseline_always_false
110,3396.4722222222217,0.0,0.0,10554.8,72382.0,72382.0,133926.93333333335,baseline_always_false
120,3431.005555555556,0.0,0.0,10017.733333333334,72382.0,72382.0,143944.6666666667,baseline_always_false
130,3433.422222222222,0.0,0.0,10236.9,72382.0,72382.0,154181.56666666668,baseline_always_false
140,3453.766666666667,0.0,0.0,10093.033333333333,72382.0,72382.0,164274.6,baseline_always_false
150,3496.6055555555563,0.0,0.0,10575.366666666667,72382.0,72382.0,174849.96666666667,baseline_always_false
160,3494.488888888888,0.0,0.0,10437.233333333334,72382.0,72382.0,185287.2,baseline_always_false
170,3551.944444444444,0.0,0.0,10131.266666666666,72382.0,72382.0,195418.46666666667,baseline_always_false
180,3474.1999999999994,0.0,0.0,10503.066666666668,72382.0,72382.0,205921.53333333335,baseline_always_false
190,3435.122222222222,0.0,0.0,10617.133333333333,72382.0,72382.0,216538.6666666667,baseline_always_false
200,3396.2388888888895,0.0,0.0,10863.9,72382.0,72382.0,227402.56666666668,baseline_always_false
210,3459.905555555556,0.0,0.0,10250.366666666667,72382.0,72382.0,237652.93333333335,baseline_always_false
