trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,2217.5611111111116,0.0,0.0,0.0,0.0,0.0,0.0,baseline_never_false
10,2205.755555555555,0.0,0.0,8503.733333333334,0.0,0.0,8503.733333333334,baseline_never_false
20,2257.7055555555557,0.0,0.0,9331.766666666666,0.0,0.0,17835.5,baseline_never_false
30,2298.0166666666673,0.0,0.0,8655.366666666667,0.0,0.0,26490.86666666667,baseline_never_false
40,2304.0388888888897,0.0,0.0,8985.6,0.0,0.0,35476.46666666667,baseline_never_false
50,2370.661111111111,0.0,0.0,9052.733333333334,0.0,0.0,44529.2,baseline_never_false
60,2387.35,0.0,0.0,8922.5,0.0,0.0,53451.7,baseline_never_false
70,2445.2833333333338,0.0,0.0,8797.1,0.0,0.0,62248.799999999996,baseline_never_false
80,2448.0111111111105,0.0,0.0,9544.966666666667,0.0,0.0,71793.76666666666,baseline_never_false
90,2518.1000000000004,0.0,0.0,8590.966666666667,0.0,0.0,80384.73333333334,baseline_never_false
100,2512.905555555555,0.0,0.0,8885.366666666667,0.0,0.0,89270.1,baseline_never_false
110,2495.177777777778,0.0,0.0,8683.8,0.0,0.0,97953.90000000001,baseline_never_false
120,2517.25,0.0,0.0,9185.8,0.0,0.0,107139.70000000001,baseline_never_false
130,2459.8444444444444,0.0,0.0,9583.366666666667,0.0,0.0,116723.06666666668,baseline_never_false
140,2555.3555555555554,0.0,0.0,8639.066666666668,0.0,0.0,125362.13333333335,baseline_never_false
150,2543.6222222222223,0.0,0.0,9052.333333333334,0.0,0.0,134414.46666666667,baseline_never_false
160,2559.705555555556,0.0,0.0,9014.133333333333,0.0,0.0,143428.6,baseline_never_false
170,2543.0555555555547,0.0,0.0,8927.9,0.0,0.0,152356.5,baseline_never_false
180,2553.761111111111,0.0,0.0,8669.0,0.0,0.0,161025.5,baseline_never_false
190,2491.2222222222217,0.0,0.0,9144.833333333334,0.0,0.0,170170.33333333334,baseline_never_false
200,2546.2333333333327,0.0,0.0,8858.766666666666,0.0,0.0,179029.1,baseline_never_false
210,2588.244444444445,0.0,0.0,9293.933333333332,0.0,0.0,188323.03333333333,baseline_never_false
220,2660.005555555556,0.0,0.0,8945.133333333333,0.0,0.0,197268.16666666666,baseline_never_false
230,2593.8166666666666,0.0,0.0,8476.766666666666,0.0,0.0,205744.93333333332,baseline_never_false
240,2679.3277777777785,0.0,0.0,9206.033333333333,0.0,0.0,214950.96666666665,baseline_never_false
250,2683.4666666666667,0.0,0.0,9598.033333333333,0.0,0.0,224548.99999999997,baseline_never_false
260,2599.0444444444443,0.0,0.0,9121.566666666668,0.0,0.0,233670.56666666665,baseline_never_false
270,2665.2722222222224,0.0,0.0,9866.466666666667,0.0,0.0,243537.03333333333,baseline_never_false
280,2703.016666666666,0.0,0.0,8752.4,0.0,0.0,252289.43333333332,baseline_never_false
290,2738.477777777778,0.0,0.0,9217.333333333334,0.0,0.0,261506.76666666666,baseline_never_false
300,2758.1999999999994,0.0,0.0,9117.333333333334,0.0,0.0,270624.1,baseline_never_false
310,2805.4166666666665,0.0,0.0,9212.5,0.0,0.0,279836.6,baseline_never_false
320,2798.3999999999996,0.0,0.0,9491.533333333333,0.0,0.0,289328.1333333333,baseline_never_false
330,2825.4611111111103,0.0,0.0,9843.466666666667,0.0,0.0,299171.6,baseline_never_false
340,2932.566666666667,0.0,0.0,9306.266666666666,0.0,0.0,308477.86666666664,baseline_never_false
350,2904.7499999999995,0.0,0.0,9388.766666666666,0.0,0.0,317866.6333333333,baseline_never_false
360,3029.844444444445,0.0,0.0,9411.133333333333,0.0,0.0,327277.76666666666,baseline_never_false
370,3023.927777777777,0.0,0.0,9514.033333333333,0.0,0.0,336791.8,baseline_never_false
380,3060.916666666667,0.0,0.0,9279.0,0.0,0.0,346070.8,baseline_never_false
390,3021.5499999999997,0.0,0.0,9718.5,0.0,0.0,355789.3,baseline_never_false
400,3095.9333333333334,0.0,0.0,9878.833333333334,0.0,0.0,365668.1333333333,baseline_never_false
410,3216.7055555555557,0.0,0.0,10017.533333333333,0.0,0.0,375685.6666666666,baseline_never_false
420,3156.172222222223,0.0,0.0,10231.733333333334,0.0,0.0,385917.39999999997,baseline_never_false
430,3287.0611111111107,0.0,0.0,9504.166666666666,0.0,0.0,395421.56666666665,baseline_never_false
440,3256.6222222222223,0.0,0.0,9977.666666666666,0.0,0.0,405399.23333333334,baseline_never_false
450,3349.6055555555554,0.0,0.0,10694.9,0.0,0.0,416094.13333333336,baseline_never_false
460,3279.716666666667,0.0,0.0,9910.533333333333,0.0,0.0,426004.6666666667,baseline_never_false
470,3383.9999999999995,0.0,0.0,10511.533333333333,0.0,0.0,436516.2,baseline_never_false
480,3346.2555555555546,0.0,0.0,10645.133333333333,0.0,0.0,447161.3333333334,baseline_never_false
490,3389.755555555557,0.0,0.0,10378.8,0.0,0.0,457540.13333333336,baseline_never_false
500,3406.0444444444443,0.0,0.0,9999.266666666666,0.0,0.0,467539.4,baseline_never_false
510,3466.305555555555,0.0,0.0,9937.933333333332,0.0,0.0,477477.3333333334,baseline_never_false
520,3447.3888888888887,0.0,0.0,10057.2,0.0,0.0,487534.5333333334,baseline_never_false
530,3441.1444444444446,0.0,0.0,10691.766666666666,0.0,0.0,498226.30000000005,baseline_never_false
540,3483.277777777778,0.0,0.0,10468.033333333333,0.0,0.0,508694.3333333334,baseline_never_false
550,3419.0,0.0,0.0,10257.933333333332,0.0,0.0,518952.2666666667,baseline_never_false
560,3458.316666666666,0.0,0.0,10297.566666666668,0.0,0.0,529249.8333333334,baseline_never_false
570,3530.3944444444446,0.0,0.0,10692.0,0.0,0.0,539941.8333333334,baseline_never_false
580,3564.383333333333,0.0,0.0,10480.833333333334,0.0,0.0,550422.6666666667,baseline_never_false
590,3605.427777777777,0.0,0.0,10526.333333333334,0.0,0.0,560949.0000000001,baseline_never_false
600,3395.7944444444447,0.0,0.0,10192.433333333332,0.0,0.0,571141.4333333335,baseline_never_false
610,3575.4333333333325,0.0,0.0,10741.066666666668,0.0,0.0,581882.5000000001,baseline_never_false
620,3553.45,0.0,0.0,10438.3,0.0,0.0,592320.8000000002,baseline_never_false
630,3605.45,0.0,0.0,10639.866666666667,0.0,0.0,602960.6666666669,baseline_never_false
640,3605.644444444444,0.0,0.0,10162.833333333334,0.0,0.0,613123.5000000002,baseline_never_false
650,3603.477777777778,0.0,0.0,10203.7,0.0,0.0,623327.2000000002,baseline_never_false
