trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,2616.6833333333334,0.0,0.0,0.0,0.0,0.0,0.0,advise100_always_false
10,2428.2833333333333,1000.0,3729.3333333333335,10190.633333333333,1000.0,3729.3333333333335,10190.633333333333,advise100_always_false
20,2436.155555555555,0.0,0.0,8675.266666666666,1000.0,3729.3333333333335,18865.9,advise100_always_false
30,2451.383333333333,0.0,0.0,9062.833333333334,1000.0,3729.3333333333335,27928.733333333337,advise100_always_false
40,2552.994444444445,0.0,0.0,8911.433333333332,1000.0,3729.3333333333335,36840.16666666667,advise100_always_false
50,2488.644444444444,0.0,0.0,9300.1,1000.0,3729.3333333333335,46140.26666666667,advise100_always_false
60,2546.0,0.0,0.0,9002.566666666668,1000.0,3729.3333333333335,55142.833333333336,advise100_always_false
70,2614.655555555555,0.0,0.0,9061.633333333333,1000.0,3729.3333333333335,64204.46666666667,advise100_always_false
80,2524.166666666667,0.0,0.0,8027.433333333333,1000.0,3729.3333333333335,72231.9,advise100_always_false
90,2645.988888888889,0.0,0.0,8840.066666666668,1000.0,3729.3333333333335,81071.96666666666,advise100_always_false
100,2617.0388888888892,0.0,0.0,8628.3,1000.0,3729.3333333333335,89700.26666666666,advise100_always_false
110,2643.783333333333,0.0,0.0,8961.566666666668,1000.0,3729.3333333333335,98661.83333333333,advise100_always_false
120,2641.022222222222,0.0,0.0,8714.366666666667,1000.0,3729.3333333333335,107376.2,advise100_always_false
130,2750.305555555555,0.0,0.0,9648.5,1000.0,3729.3333333333335,117024.7,advise100_always_false
140,2752.8111111111116,0.0,0.0,9200.6,1000.0,3729.3333333333335,126225.3,advise100_always_false
150,2802.7555555555564,0.0,0.0,8965.1,1000.0,3729.3333333333335,135190.4,advise100_always_false
160,2918.8888888888896,0.0,0.0,9237.066666666668,1000.0,3729.3333333333335,144427.46666666667,advise100_always_false
170,2988.3333333333335,0.0,0.0,9860.066666666668,1000.0,3729.3333333333335,154287.53333333335,advise100_always_false
180,2906.983333333334,0.0,0.0,9834.3,1000.0,3729.3333333333335,164121.83333333334,advise100_always_false
190,2956.3777777777777,0.0,0.0,9471.6,1000.0,3729.3333333333335,173593.43333333335,advise100_always_false
200,2989.566666666667,0.0,0.0,9480.933333333332,1000.0,3729.3333333333335,183074.36666666667,advise100_always_false
210,3126.6111111111113,0.0,0.0,9808.1,1000.0,3729.3333333333335,192882.46666666667,advise100_always_false
220,3215.9500000000003,0.0,0.0,10560.6,1000.0,3729.3333333333335,203443.06666666668,advise100_always_false
230,3159.5888888888894,0.0,0.0,9763.9,1000.0,3729.3333333333335,213206.96666666667,advise100_always_false
240,3200.6333333333328,0.0,0.0,9696.1,1000.0,3729.3333333333335,222903.06666666668,advise100_always_false
250,3262.9111111111106,0.0,0.0,10092.466666666667,1000.0,3729.3333333333335,232995.53333333335,advise100_always_false
260,3297.7000000000003,0.0,0.0,9937.633333333333,1000.0,3729.3333333333335,242933.1666666667,advise100_always_false
270,3322.694444444445,0.0,0.0,10171.866666666667,1000.0,3729.3333333333335,253105.03333333335,advise100_always_false
280,3312.9333333333334,0.0,0.0,10324.833333333334,1000.0,3729.3333333333335,263429.8666666667,advise100_always_false
290,3441.7555555555546,0.0,0.0,9308.333333333334,1000.0,3729.3333333333335,272738.2,advise100_always_false
300,3372.8777777777773,0.0,0.0,10597.0,1000.0,3729.3333333333335,283335.2,advise100_always_false
310,3348.494444444445,0.0,0.0,10628.666666666666,1000.0,3729.3333333333335,293963.8666666667,advise100_always_false
320,3438.083333333333,0.0,0.0,10183.766666666666,1000.0,3729.3333333333335,304147.63333333336,advise100_always_false
330,3425.6277777777777,0.0,0.0,10432.266666666666,1000.0,3729.3333333333335,314579.9,advise100_always_false
340,3454.422222222222,0.0,0.0,10205.8,1000.0,3729.3333333333335,324785.7,advise100_always_false
350,3523.233333333334,0.0,0.0,10044.933333333332,1000.0,3729.3333333333335,334830.63333333336,advise100_always_false
360,3523.0500000000006,0.0,0.0,10336.333333333334,1000.0,3729.3333333333335,345166.9666666667,advise100_always_false
370,3400.0,0.0,0.0,10475.166666666666,1000.0,3729.3333333333335,355642.13333333336,advise100_always_false
