trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,2628.225,0.0,0.0,0.0,0.0,0.0,0.0,correct200_importance50_false
10,2468.991666666667,99.1,6193.8,10736.266666666666,99.1,6193.8,10736.266666666666,correct200_importance50_false
20,2578.425,105.33333333333333,6610.8,11144.566666666668,204.43333333333334,12804.6,21880.833333333336,correct200_importance50_false
30,2530.6666666666665,99.63333333333334,6733.8,11342.133333333333,304.06666666666666,19538.4,33222.96666666667,correct200_importance50_false
40,2559.9166666666665,88.96666666666667,6897.966666666666,11498.333333333334,393.0333333333333,26436.36666666667,44721.3,correct200_importance50_false
50,2656.1666666666665,78.03333333333333,6925.366666666667,11437.066666666668,471.0666666666666,33361.73333333334,56158.36666666667,correct200_importance50_false
60,2599.8166666666666,62.06666666666667,6479.133333333333,10552.333333333334,533.1333333333333,39840.86666666667,66710.7,correct200_importance50_false
70,2680.9,59.733333333333334,7139.9,11794.633333333333,592.8666666666667,46980.76666666667,78505.33333333333,correct200_importance50_false
80,2786.0583333333334,55.766666666666666,6611.133333333333,10892.6,648.6333333333333,53591.9,89397.93333333333,correct200_importance50_false
90,2920.05,53.0,6904.833333333333,11339.166666666666,701.6333333333333,60496.73333333334,100737.1,correct200_importance50_false
100,2969.641666666667,46.43333333333333,7174.0,11586.066666666668,748.0666666666666,67670.73333333334,112323.16666666667,correct200_importance50_false
110,3048.6916666666666,41.6,7289.666666666667,11693.0,789.6666666666666,74960.40000000001,124016.16666666667,correct200_importance50_false
120,3092.5333333333333,32.93333333333333,6817.366666666667,11089.6,822.5999999999999,81777.76666666668,135105.76666666666,correct200_importance50_false
130,3236.25,31.133333333333333,6053.733333333334,10871.7,853.7333333333332,87831.50000000001,145977.46666666667,correct200_importance50_false
140,3170.625,30.266666666666666,6362.2,11855.266666666666,883.9999999999999,94193.70000000001,157832.73333333334,correct200_importance50_false
150,3312.925,25.533333333333335,5662.966666666666,10941.566666666668,909.5333333333332,99856.66666666667,168774.30000000002,correct200_importance50_false
160,3255.366666666667,24.366666666666667,5214.9,11540.133333333333,933.8999999999999,105071.56666666667,180314.43333333335,correct200_importance50_false
170,3317.383333333333,18.933333333333334,3987.2,10978.0,952.8333333333331,109058.76666666666,191292.43333333335,correct200_importance50_false
180,3356.725,13.466666666666667,3117.766666666667,10899.433333333332,966.2999999999998,112176.53333333333,202191.86666666667,correct200_importance50_false
190,3473.991666666667,8.466666666666667,1865.6333333333334,10211.8,974.7666666666665,114042.16666666666,212403.66666666666,correct200_importance50_false
200,3447.4166666666665,5.633333333333334,1535.3333333333333,10888.833333333334,980.3999999999999,115577.49999999999,223292.5,correct200_importance50_false
210,3515.3416666666667,5.833333333333333,1377.4,10553.033333333333,986.2333333333332,116954.89999999998,233845.53333333333,correct200_importance50_false
220,3414.425,5.066666666666666,1367.3666666666666,10878.866666666667,991.3,118322.26666666665,244724.4,correct200_importance50_false
230,3474.258333333333,5.233333333333333,1104.0666666666666,10312.633333333333,996.5333333333333,119426.33333333331,255037.03333333333,correct200_importance50_false
240,3509.05,2.566666666666667,683.8666666666667,11132.3,999.1,120110.19999999998,266169.3333333333,correct200_importance50_false
250,3423.1833333333334,0.9,260.1333333333333,10391.666666666666,1000.0,120370.33333333331,276561.0,correct200_importance50_false
260,3625.9666666666667,0.0,0.0,10164.6,1000.0,120370.33333333331,286725.6,correct200_importance50_false
270,3473.0583333333334,0.0,0.0,10884.133333333333,1000.0,120370.33333333331,297609.73333333334,correct200_importance50_false
280,3587.275,0.0,0.0,10296.1,1000.0,120370.33333333331,307905.8333333333,correct200_importance50_false
290,3534.483333333333,0.0,0.0,10558.933333333332,1000.0,120370.33333333331,318464.76666666666,correct200_importance50_false
300,3548.2166666666667,0.0,0.0,10858.366666666667,1000.0,120370.33333333331,329323.1333333333,correct200_importance50_false
310,3532.6833333333334,0.0,0.0,10429.5,1000.0,120370.33333333331,339752.6333333333,correct200_importance50_false
320,3519.4083333333333,0.0,0.0,10575.433333333332,1000.0,120370.33333333331,350328.06666666665,correct200_importance50_false
330,3572.6833333333334,0.0,0.0,10632.266666666666,1000.0,120370.33333333331,360960.3333333333,correct200_importance50_false
340,3615.7083333333335,0.0,0.0,10346.466666666667,1000.0,120370.33333333331,371306.8,correct200_importance50_false
350,3553.0666666666666,0.0,0.0,11197.633333333333,1000.0,120370.33333333331,382504.43333333335,correct200_importance50_false
360,3650.8333333333335,0.0,0.0,10185.933333333332,1000.0,120370.33333333331,392690.3666666667,correct200_importance50_false
370,3573.4083333333333,0.0,0.0,10487.033333333333,1000.0,120370.33333333331,403177.4,correct200_importance50_false
380,3614.391666666667,0.0,0.0,9903.266666666666,1000.0,120370.33333333331,413080.6666666667,correct200_importance50_false
390,3718.5,0.0,0.0,10707.266666666666,1000.0,120370.33333333331,423787.93333333335,correct200_importance50_false
400,3668.4,0.0,0.0,10395.866666666667,1000.0,120370.33333333331,434183.8,correct200_importance50_false
410,3650.95,0.0,0.0,10809.1,1000.0,120370.33333333331,444992.89999999997,correct200_importance50_false
420,3628.0666666666666,0.0,0.0,10373.0,1000.0,120370.33333333331,455365.89999999997,correct200_importance50_false
430,3588.725,0.0,0.0,10968.4,1000.0,120370.33333333331,466334.3,correct200_importance50_false
440,3752.0,0.0,0.0,10814.266666666666,1000.0,120370.33333333331,477148.56666666665,correct200_importance50_false
450,3761.508333333333,0.0,0.0,10550.7,1000.0,120370.33333333331,487699.26666666666,correct200_importance50_false
460,3709.0583333333334,0.0,0.0,10432.4,1000.0,120370.33333333331,498131.6666666667,correct200_importance50_false
470,3789.9583333333335,0.0,0.0,10367.0,1000.0,120370.33333333331,508498.6666666667,correct200_importance50_false
480,3694.2083333333335,0.0,0.0,10564.8,1000.0,120370.33333333331,519063.4666666667,correct200_importance50_false
490,3741.1666666666665,0.0,0.0,10665.033333333333,1000.0,120370.33333333331,529728.5,correct200_importance50_false
500,3758.3,0.0,0.0,10550.066666666668,1000.0,120370.33333333331,540278.5666666667,correct200_importance50_false
510,3674.1583333333333,0.0,0.0,10256.3,1000.0,120370.33333333331,550534.8666666667,correct200_importance50_false
520,3731.4083333333333,0.0,0.0,10837.933333333332,1000.0,120370.33333333331,561372.8,correct200_importance50_false
530,3722.5833333333335,0.0,0.0,10235.233333333334,1000.0,120370.33333333331,571608.0333333333,correct200_importance50_false
540,3719.4583333333335,0.0,0.0,10690.066666666668,1000.0,120370.33333333331,582298.1,correct200_importance50_false
550,3838.475,0.0,0.0,10304.1,1000.0,120370.33333333331,592602.2,correct200_importance50_false
560,3758.7833333333333,0.0,0.0,10637.8,1000.0,120370.33333333331,603240.0,correct200_importance50_false
570,3834.116666666667,0.0,0.0,10160.466666666667,1000.0,120370.33333333331,613400.4666666667,correct200_importance50_false
