trainingEpisodes,reward,teaching,attention,episodeLength,sumTeaching,sumAttention,sumEpisodeLength,teachingStrategy
0,2551.3611111111113,0.0,0.0,0.0,0.0,0.0,0.0,baseline_avgCertainty1_true
10,2605.238888888889,1000.0,1000.0,9503.233333333334,1000.0,1000.0,9503.233333333334,baseline_avgCertainty1_true
20,2668.4111111111115,0.0,0.0,9175.2,1000.0,1000.0,18678.433333333334,baseline_avgCertainty1_true
30,2705.9333333333334,0.0,0.0,9251.833333333334,1000.0,1000.0,27930.26666666667,baseline_avgCertainty1_true
40,2738.6722222222215,0.0,0.0,8849.4,1000.0,1000.0,36779.66666666667,baseline_avgCertainty1_true
50,2757.594444444445,0.0,0.0,9113.166666666666,1000.0,1000.0,45892.833333333336,baseline_avgCertainty1_true
60,2788.394444444444,0.0,0.0,8703.9,1000.0,1000.0,54596.73333333334,baseline_avgCertainty1_true
70,2901.9,0.0,0.0,8888.2,1000.0,1000.0,63484.933333333334,baseline_avgCertainty1_true
80,2967.488888888888,0.0,0.0,9215.566666666668,1000.0,1000.0,72700.5,baseline_avgCertainty1_true
90,2961.883333333333,0.0,0.0,9148.733333333334,1000.0,1000.0,81849.23333333334,baseline_avgCertainty1_true
100,2929.9000000000005,0.0,0.0,9664.4,1000.0,1000.0,91513.63333333333,baseline_avgCertainty1_true
110,2949.9,0.0,0.0,9885.333333333334,1000.0,1000.0,101398.96666666666,baseline_avgCertainty1_true
120,3051.1388888888896,0.0,0.0,9605.9,1000.0,1000.0,111004.86666666665,baseline_avgCertainty1_true
130,3160.666666666666,0.0,0.0,9744.8,1000.0,1000.0,120749.66666666666,baseline_avgCertainty1_true
140,3074.233333333333,0.0,0.0,10444.033333333333,1000.0,1000.0,131193.69999999998,baseline_avgCertainty1_true
150,3238.8777777777777,0.0,0.0,10030.533333333333,1000.0,1000.0,141224.2333333333,baseline_avgCertainty1_true
160,3238.061111111112,0.0,0.0,10506.666666666666,1000.0,1000.0,151730.89999999997,baseline_avgCertainty1_true
170,3205.45,0.0,0.0,10227.633333333333,1000.0,1000.0,161958.5333333333,baseline_avgCertainty1_true
180,3223.4277777777775,0.0,0.0,9840.233333333334,1000.0,1000.0,171798.76666666663,baseline_avgCertainty1_true
190,3293.4777777777786,0.0,0.0,10211.0,1000.0,1000.0,182009.76666666663,baseline_avgCertainty1_true
200,3307.6333333333337,0.0,0.0,10273.133333333333,1000.0,1000.0,192282.89999999997,baseline_avgCertainty1_true
210,3341.4833333333327,0.0,0.0,10236.233333333334,1000.0,1000.0,202519.1333333333,baseline_avgCertainty1_true
220,3424.472222222222,0.0,0.0,10171.3,1000.0,1000.0,212690.4333333333,baseline_avgCertainty1_true
